zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon,Postcode Sectors,Facility name,Tier,index
248,"6,504 ",50.97388171,-1.380991004,urban,"197,052 ",50.965077,-1.386758,SO53 3,Eastleigh,1,j25
249,"7,372 ",50.9810945,-1.390734537,urban,0 ,,,SO53 4,,,
250,"4,732 ",50.99671597,-1.377750939,urban,0 ,,,SO53 5,,,
251,"4,116 ",51.21052365,-1.475262662,urban,0 ,,,SP10 1,,,
252,"9,944 ",51.20384464,-1.479809291,urban,0 ,,,SP10 2,,,
253,"13,138 ",51.20979159,-1.497247755,urban,0 ,,,SP10 3,,,
254,"6,941 ",51.21997387,-1.489878931,urban,0 ,,,SP10 4,,,
255,"5,657 ",51.21801642,-1.468984509,urban,"153,500 ",51.211955,-1.451613,SP10 5,Andover,1,j26
256,"3,485 ",51.26327812,-1.488958703,urban,0 ,,,SP11 0,,,
257,"15,510 ",51.22596117,-1.436844345,urban,0 ,,,SP11 6,,,
258,"4,673 ",51.18432761,-1.502611098,urban,0 ,,,SP11 7,,,
259,"3,983 ",51.20106497,-1.568603691,urban,0 ,,,SP11 8,,,
260,"8,069 ",51.25051769,-1.595859856,urban,0 ,,,SP11 9,,,
261,"4,624 ",51.07745793,-1.661533551,urban,0 ,,,SP5 1,,,
262,"6,581 ",50.93102032,-1.798582618,urban,0 ,,,SP6 1,,,
263,"2,887 ",50.93926837,-1.763482142,urban,0 ,,,SP6 2,,,
264,"4,704 ",50.93775129,-1.838038032,urban,0 ,,,SP6 3,,,
265,"12,124 ",51.23292587,-1.663564904,urban,0 ,,,SP9 7,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
